name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vietnam,2021-06-01,39.4,29,34.4,45.8,37.7,41.8,24.4,59.6,0.7,100,16.67,rain,,,,20.5,164.4,1000.6,56,10.5,136.2,11.7,5,,2021-06-01T05:14:43,2021-06-01T18:34:19,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-02,40,29,33.5,47.9,38.2,42.7,25.9,67.2,0,0,0,,,,,14.8,109.9,1001.4,53.6,9.3,135,11.6,4,,2021-06-02T05:14:38,2021-06-02T18:34:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-03,40,30,34.2,47.9,40.4,43.8,26,66.1,0.3,100,12.5,rain,,,,18.4,108.6,1001.6,53.8,10.1,139.9,12.2,5,,2021-06-03T05:14:33,2021-06-03T18:35:06,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-04,31.3,23.9,27.5,43.1,23.9,29.6,21.8,72.2,0.293,100,4.17,rain,,,,37.1,7.1,1006.4,80,10,148.6,12.7,5,,2021-06-04T05:14:30,2021-06-04T18:35:29,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-06-05,32.1,25,28.5,38,25,29.6,20.3,62.9,0.024,100,4.17,rain,,,,7.6,57.7,1006.1,75.2,9.4,248,21.5,8,,2021-06-05T05:14:28,2021-06-05T18:35:52,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-06,33.1,26.6,29.6,42.4,26.6,34.2,24.1,74,1.1,100,45.83,rain,,,,11.5,103,1003.7,67.9,6.5,190.8,16.5,7,,2021-06-06T05:14:27,2021-06-06T18:36:14,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-06-07,34,25.7,28.7,39.1,25.7,32.5,24.6,80.6,53.261,100,8.33,rain,,,,18.4,85.9,1004.6,54.8,8.7,139.3,11.8,4,,2021-06-07T05:14:27,2021-06-07T18:36:36,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-06-08,34,25.8,28.1,37.9,25.8,31.2,24.6,83.1,39.292,100,16.67,rain,,,,13,32.8,1005.7,69.1,8.6,173.7,15,6,,2021-06-08T05:14:28,2021-06-08T18:36:57,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-09,32,25.8,28.3,39.2,25.8,32,25.1,84,35.524,100,12.5,rain,,,,16.6,86.5,1004.3,76.3,8.9,232.8,20.1,8,,2021-06-09T05:14:30,2021-06-09T18:37:18,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-10,32,27,28.5,40.7,31.2,34.7,26.2,87.7,0.649,100,8.33,rain,,,,9.4,94.9,1002.8,66,9.3,121.7,10.5,4,,2021-06-10T05:14:32,2021-06-10T18:37:39,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-11,34,27,29.4,39.7,31.2,35.2,25.5,80.9,1.976,100,4.17,rain,,,,14.8,80.9,1003.4,53.5,9.6,267.5,23.3,8,,2021-06-11T05:14:36,2021-06-11T18:37:59,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-12,35,25.8,28.8,40.6,25.8,34.2,25.7,84.3,30.848,100,16.67,rain,,,31.7,18.4,324.7,1002.7,75.4,8.9,241.7,20.9,8,,2021-06-12T05:14:41,2021-06-12T18:38:18,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-13,31,26,27.7,38.3,26,31.8,25.4,87.3,56.903,100,20.83,rain,,,,24.1,60,1002,85.8,9.5,206.9,17.8,7,,2021-06-13T05:14:47,2021-06-13T18:38:37,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-14,34.1,26,29.7,40.4,26,33.8,24.6,76.6,1,100,33.33,rain,,,,22.3,128.3,1001.3,68.2,10.7,279.9,24.1,10,,2021-06-14T05:14:53,2021-06-14T18:38:55,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-15,35,27,30.8,41.1,30.8,35.7,24,69.5,0.098,100,4.17,rain,,,,14.8,127.7,999.5,51.4,11.2,279.3,24.2,9,,2021-06-15T05:15:01,2021-06-15T18:39:13,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-16,37,28,32.2,42.8,34.5,38.6,24.5,66.8,0,0,0,,,,,18.4,120.1,1001.1,66.6,10.4,230,19.9,8,,2021-06-16T05:15:09,2021-06-16T18:39:30,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB,remote"
vietnam,2021-06-17,37.1,28,32.9,44.1,34.5,39.7,24.5,64.2,0,0,0,,,,,18.4,121.8,1002.9,57.9,10.9,149.5,12.8,5,,2021-06-17T05:15:19,2021-06-17T18:39:46,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-18,38,29,33.5,44.1,36.8,40.7,24.5,62.7,0,0,0,,,,,16.6,138.6,1003,51,11.6,230.1,19.8,8,,2021-06-18T05:15:29,2021-06-18T18:40:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-19,39.3,29,34.5,44.9,36.1,39.9,22.8,54.1,0,0,0,,,,,14.8,221.5,1000.7,49.8,11.8,261.6,22.6,9,,2021-06-19T05:15:40,2021-06-19T18:40:16,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-20,40,30,35.3,44.5,34.6,40,22,48.4,0,0,0,,,,,14.8,231.5,998.6,55.6,11.6,249.4,21.5,8,,2021-06-20T05:15:52,2021-06-20T18:40:30,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2021-06-21,38.7,30,34.3,44.5,38.8,41.4,24.3,58.5,0,0,0,,,,,16.6,61.9,999.3,62.3,11,187.9,16.4,6,,2021-06-21T05:16:04,2021-06-21T18:40:43,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
