date,RON 95-III
10/21/2013,99.22
10/22/2013,97.8
10/23/2013,96.86
10/24/2013,97.11
10/25/2013,97.85
10/28/2013,98.68
10/29/2013,98.2
10/30/2013,96.77
10/31/2013,96.38
11/1/2013,94.61
11/4/2013,94.62
11/5/2013,93.37
11/6/2013,94.8
11/7/2013,94.2
11/8/2013,94.6
11/11/2013,95.14
11/12/2013,93.04
11/13/2013,93.88
11/14/2013,93.76
11/15/2013,93.84
11/18/2013,93.03
11/19/2013,93.34
11/20/2013,93.33
11/21/2013,95.44
11/22/2013,94.84
11/25/2013,94.09
11/26/2013,93.68
11/27/2013,92.3
11/28/2013,92.28
11/29/2013,92.72
12/2/2013,93.82
12/3/2013,96.04
12/4/2013,97.2
12/5/2013,97.38
12/6/2013,97.65
12/9/2013,97.34
12/10/2013,98.51
12/11/2013,97.44
12/12/2013,97.5
12/13/2013,96.6
12/16/2013,97.48
12/17/2013,97.22
12/18/2013,97.8
12/19/2013,98.77
12/20/2013,99.32
12/23/2013,98.91
12/24/2013,99.22
12/26/2013,99.55
12/27/2013,100.32
12/30/2013,99.29
12/31/2013,98.42
1/1/2014,98.7
1/2/2014,95.44
1/3/2014,93.96
1/6/2014,93.43
1/7/2014,93.67
1/8/2014,92.33
1/9/2014,91.66
1/10/2014,92.72
1/13/2014,91.8
1/14/2014,92.59
1/15/2014,94.17
1/16/2014,93.96
1/17/2014,94.37
1/20/2014,93.93
1/21/2014,94.99
1/22/2014,96.73
1/23/2014,97.32
1/24/2014,96.64
1/27/2014,95.72
1/28/2014,97.41
1/29/2014,97.36
1/30/2014,98.23
1/31/2014,97.49
2/3/2014,96.43
2/4/2014,97.19
2/5/2014,97.38
2/6/2014,97.84
2/7/2014,99.88
2/10/2014,100.06
2/11/2014,99.94
2/12/2014,100.37
2/13/2014,100.35
2/14/2014,100.3
2/17/2014,100.58
2/18/2014,102.43
2/19/2014,103.31
2/20/2014,102.92
2/21/2014,102.2
2/24/2014,102.82
2/25/2014,101.83
2/26/2014,102.59
2/27/2014,102.4
2/28/2014,102.59
3/3/2014,104.92
3/4/2014,103.33
3/5/2014,101.45
3/6/2014,101.56
3/7/2014,102.58
3/10/2014,101.12
3/11/2014,100.03
3/12/2014,97.99
3/13/2014,98.2
3/14/2014,98.89
3/17/2014,98.08
3/18/2014,99.7
3/19/2014,100.37
3/20/2014,99.43
3/21/2014,99.46
3/24/2014,99.6
3/25/2014,99.19
3/26/2014,100.26
3/27/2014,101.28
3/28/2014,101.67
3/31/2014,101.58
4/1/2014,99.74
4/2/2014,99.62
4/3/2014,100.29
4/4/2014,101.14
4/7/2014,100.44
4/8/2014,102.56
4/9/2014,103.6
4/10/2014,103.4
