name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
vietnam,2022-01-01,17.8,14.9,16.2,17.8,14.9,16.2,12.8,80.8,0,0,0,,,,,14.8,10,1024.2,87.1,9.4,140.7,12.1,5,,2022-01-01T06:33:43,2022-01-01T17:26:25,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-02,22,15,17.4,22,15,17.4,12.5,73.8,0,0,0,,,,,11.2,359.2,1022.7,60.5,8.8,169.1,14.6,6,,2022-01-02T06:34:02,2022-01-02T17:27:03,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-03,20.2,13,16.7,20.2,13,16.7,13.9,84.8,0,0,0,,,,,7.6,348.1,1020.3,56.6,4.8,153.4,13.3,6,,2022-01-03T06:34:19,2022-01-03T17:27:41,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-04,24.5,16,20.2,24.5,16,20.2,15.4,75.5,0,0,0,,,,,20.5,122,1017.7,53.7,6.5,206.8,17.9,8,,2022-01-04T06:34:36,2022-01-04T17:28:19,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-05,24,17,20.4,24,17,20.4,17.3,83.4,0,0,0,,,,,14.8,105.6,1016.2,44.2,5.8,201.9,17.4,7,,2022-01-05T06:34:52,2022-01-05T17:28:58,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-06,25,19,21.3,25,19,21.3,17.9,81.3,0,0,0,,,,,16.7,121.7,1017.1,42.7,7.5,180.3,15.6,7,,2022-01-06T06:35:06,2022-01-06T17:29:38,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-07,24,19,21,24,19,21,16.9,78,0,0,0,,,,,22.3,127.3,1019.1,68.8,8.1,144,12.5,6,,2022-01-07T06:35:19,2022-01-07T17:30:17,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-08,22,16,19.9,22,16,19.9,16.3,80,0,0,0,,,,,20.5,100.5,1017.9,84.2,7.1,158.6,13.6,7,,2022-01-08T06:35:31,2022-01-08T17:30:57,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-09,16.7,14,14.9,16.7,14,14.9,12.5,85.9,1.859,100,12.5,rain,,,,20.5,28.8,1017.7,96.7,8.4,118.3,10.2,5,,2022-01-09T06:35:41,2022-01-09T17:31:37,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
vietnam,2022-01-10,16,13,14.5,16,13,14.5,13.2,92.1,0.305,100,8.33,rain,0,0,37.1,14.8,18.5,1017.1,99.5,6.2,147.3,12.5,5,10,2022-01-10T06:35:50,2022-01-10T17:32:17,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
